10	24.0	1.1	1.1	0.9	0.9	0.9	0.9	1.0	1.2	0.8
20	0.7	1.5	1.2	0.4	1.5	0.5	1.3	0.6	1.0	1.0
30	0.7	1.3	0.4	1.2	1.2	1.3	0.8	1.5	1.5	0.6
40	1.1	0.6	1.7	1.6	0.4	1.3	0.6	1.2	1.2	0.4
50	2.1	1.5	1.4	2.0	0.6	0.4	1.7	1.8	0.4	0.8
60	2.1	0.7	1.6	1.6	1.6	1.5	0.5	1.4	1.0	1.5
70	0.8	1.0	1.8	1.7	2.1	1.9	1.1	1.2	0.5	0.6
80	0.5	2.5	0.4	1.2	2.3	1.8	2.2	1.2	1.3	2.3
90	0.9	2.5	1.8	1.8	0.6	1.8	1.4	1.4	0.8	1.1
100	1.1	0.4	1.3	0.6	1.1	1.0	0.7	1.6	1.0	0.6
110	3.8	1.6	0.9	2.4	1.4	0.7	0.8	0.7	1.1	1.0
120	2.4	0.8	2.2	0.7	1.6	1.1	0.4	1.0	0.9	0.6
130	0.8	0.6	1.1	1.0	0.4	1.2	1.1	1.0	0.6	0.4
140	3.3	2.8	0.5	1.1	1.5	0.7	0.5	1.9	0.5	0.4
150	2.9	1.1	4.1	1.3	2.3	2.6	1.2	1.0	2.4	0.7
160	18.7	0.5	13.9	1.2	1.7	2.7	0.7	0.5	0.9	1.1
170	2.1	0.9	1.6	0.7	0.4	2.3	3.0	1.2	0.6	0.5
180	1.0	0.6	2.4	1.5	0.5	1.0	0.8	0.5	0.9	3.0
190	0.7	1.7	1.0	0.6	1.1	0.6	0.4	0.7	1.5	1.6
200	0.6	1.0	0.4	0.9	1.1	0.6	3.3	0.8	1.8	0.5
210	0.4	1.1	0.4	0.8	0.6	1.1	0.9	0.8	0.5	2.0
220	1.4	0.6	1.4	0.6	1.1	1.5	2.3	0.5	0.6	1.0
230	1.0	2.9	1.6	1.0	0.4	0.8	0.8	3.8	0.6	0.4
240	0.7	3.6	2.7	0.3	0.4	2.2	0.9	0.6	0.4	1.3
250	0.6	1.0	0.9	0.7	0.6	0.5	0.9	1.0	0.6	0.8
260	0.9	2.8	1.3	1.5	1.1	2.4	1.4	0.4	1.5	1.9
270	2.6	0.5	1.2	1.1	1.5	0.7	1.0	0.5	0.9	3.8
280	3.0	0.7	2.0	0.5	1.8	0.8	0.4	1.3	21.7	0.6
290	0.9	1.0	1.7	1.3	1.0	3.1	15.1	0.8	1.6	15.7
300	1.9	0.3	0.6	0.4	0.4	0.6	0.6	1.1	0.5	0.6
310	1.6	1.6	0.5	0.9	0.8	0.4	0.8	1.1	1.9	0.4
320	1.6	0.4	0.4	1.5	0.8	1.1	1.2	3.0	0.5	1.9
330	1.7	1.2	0.6	1.1	1.5	1.1	0.3	0.4	0.4	0.7
340	0.9	1.3	0.4	1.0	1.6	0.9	1.5	1.1	0.6	1.9
350	3.0	0.9	3.0	0.5	1.2	0.7	2.7	1.0	0.8	2.3
360	3.3	1.7	0.8	1.1	1.7	1.2	4.3	2.4	0.9	0.7
370	2.7	5.1	5.6	8.1	6.6	10.2	13.5	8.2	6.9	3.9
380	19.6	5.7	10.8	33.2	3.2	3.7	2.7	44.0	3.7	12.7
390	11.4	24.6	1.4	0.7	0.7	6.9	0.6	4.9	7.9	3.3
400	6.6	0.9	1.8	4.0	0.5	1.6	0.9	1.1	3.6	8.8
410	2.8	3.6	1.8	1.2	4.5	0.6	1.3	1.4	1.6	1.1
420	1.5	1.1	7.0	4.7	0.6	2.1	0.6	7.3	3.1	1.2
430	2.4	2.1	0.9	0.4	2.0	1.2	1.0	1.0	3.8	1.1
440	0.8	0.5	2.3	1.3	0.7	2.4	1.0	2.7	0.4	0.7
450	9.0	1.4	0.4	1.1	0.5	3.6	0.6	2.4	4.1	2.3
460	2.0	3.5	2.9	0.6	0.4	5.4	3.3	0.4	1.1	4.9
470	1.4	3.0	0.7	4.3	2.6	2.3	0.6	3.7	0.6	0.6
480	0.9	4.3	0.7	0.8	1.7	1.6	0.7	0.6	3.9	2.1
490	1.8	0.9	0.6	1.6	1.4	0.9	0.7	0.5	0.8	2.9
500	1.0	0.5	1.2	1.1	0.9	1.2	3.8	0.6	0.4	1.7
510	1.2	1.6	1.8	1.1	0.8	3.2	0.8	1.1	0.6	1.0
520	2.0	0.8	2.6	5.1	0.8	0.6	1.3	0.9	1.1	0.7
530	4.8	3.1	0.5	0.5	0.5	1.3	2.4	0.7	1.6	2.2
540	2.2	0.5	1.2	0.6	1.9	4.4	0.5	0.4	1.2	1.2
550	1.2	2.2	2.9	1.0	0.4	0.5	2.5	1.0	0.5	0.8
560	0.8	1.4	1.6	2.5	0.4	0.8	1.3	0.6	1.2	0.4
570	1.9	0.8	0.9	1.3	0.5	0.6	1.2	0.5	0.8	1.4
580	0.9	4.3	1.6	2.5	0.5	4.1	0.9	0.6	1.8	0.6
590	0.6	1.3	0.9	1.3	3.5	0.5	0.9	0.7	1.4	0.8
600	0.4	0.5	3.6	0.8	1.8	4.1	1.1	1.8	1.4	0.7
610	0.5	1.6	1.3	0.7	1.1	1.1	1.2	2.2	3.8	1.0
620	1.0	2.6	1.8	2.5	1.1	0.9	1.6	3.2	3.1	0.5
630	0.7	0.9	0.9	0.7	0.4	1.2	1.2	3.0	0.5	1.7
640	0.7	1.0	2.4	1.2	1.0	0.4	2.4	1.1	2.7	0.7
650	2.5	0.5	3.5	1.1	3.8	0.4	0.6	1.6	1.6	0.6
660	1.0	0.6	0.6	0.6	0.8	0.7	0.6	0.8	2.6	3.2
670	1.0	1.7	1.6	1.5	3.1	1.1	1.1	0.7	1.8	0.8
680	1.1	2.5	0.7	0.9	0.7	0.8	0.4	0.9	1.3	0.8
690	1.2	1.0	0.5	1.4	1.7	2.6	1.5	0.8	0.8	0.8
700	1.3	1.3	1.7	1.1	0.8	0.7	1.7	1.6	0.7	3.1
710	0.6	1.0	0.9	1.1	1.6	1.7	0.9	0.7	0.5	2.7
720	1.6	0.8	0.8	7.1	1.3	1.8	0.5	1.7	1.6	1.4
730	0.4	1.6	1.2	0.6	2.2	0.5	0.9	0.6	0.6	0.5
740	0.8	0.8	0.6	0.6	0.8	2.0	1.0	2.6	0.4	0.5
750	0.8	2.2	1.0	0.8	0.9	1.5	1.4	3.1	1.2	1.4
760	2.7	5.4	1.7	1.6	6.7	1.2	5.1	2.1	7.9	1.1
770	15.3	4.9	5.7	1.7	1.7	5.9	2.0	8.7	4.5	13.4
780	11.7	7.8	3.1	5.6	5.5	2.0	9.0	2.7	1.4	1.1
790	0.5	1.9	5.2	2.1	0.5	1.9	3.4	0.7	1.7	1.0
800	2.1	0.8	3.3	1.4	1.3	1.8	1.1	0.9	0.5	2.3
810	1.5	1.8	1.6	0.6	1.1	1.1	1.3	2.5	1.3	21.1
820	2.6	1.3	1.3	0.9	0.7	1.3	0.8	0.9	1.4	0.8
830	0.8	6.4	0.8	0.4	1.0	1.4	1.1	0.5	1.4	0.7
840	0.6	0.4	0.5	1.1	0.9	0.5	0.7	0.6	0.6	0.9
850	1.9	1.0	3.1	0.7	0.5	3.2	0.7	1.4	0.4	0.7
860	1.4	1.2	0.8	2.2	0.4	0.9	1.4	3.2	0.6	0.7
870	0.5	1.3	0.5	1.0	0.6	0.7	1.1	3.6	3.0	0.9
880	1.2	3.8	1.0	1.3	2.5	4.0	1.1	1.2	2.1	2.1
890	0.5	0.7	1.5	1.2	2.0	1.5	0.6	0.4	0.8	1.0
900	0.7	0.9	1.2	0.7	0.7	0.6	0.8	1.3	1.5	1.2
910	1.0	1.1	2.2	2.6	0.5	0.9	1.1	3.6	0.4	0.9
920	0.8	1.2	0.6	1.4	0.9	0.9	0.5	1.6	3.9	1.5
930	1.6	1.0	1.6	1.1	0.5	2.9	3.7	0.6	1.0	2.3
940	0.6	1.4	1.5	1.2	1.5	1.1	0.7	0.5	0.6	0.6
950	1.5	1.3	0.5	1.5	0.5	0.6	0.6	0.8	0.8	0.5
960	0.7	3.0	2.0	2.3	1.2	0.7	0.7	1.2	2.4	0.4
970	1.2	0.6	0.6	1.7	0.9	0.6	0.5	0.6	1.1	1.2
980	3.7	1.1	0.9	0.5	2.7	1.6	1.8	0.7	1.1	2.3
990	0.7	1.1	0.4	0.5	1.1	2.0	0.6	0.6	2.8	0.6
1000	2.5	0.8	0.5	0.6	0.5	2.6	0.8	1.0	0.5	0.9
1010	3.4	0.5	1.6	0.4	0.5	0.7	0.9	0.8	0.4	1.1
1020	1.0	20.5	4.7	2.2	2.7	1.8	0.6	0.4	1.2	0.9
1030	0.7	1.4	0.6	0.7	0.5	0.9	1.0	0.4	1.0	3.2
1040	2.9	0.8	2.2	1.3	0.9	1.0	0.6	1.9	0.5	1.6
1050	1.0	3.3	1.0	1.5	2.4	0.8	1.0	0.7	3.2	0.9
1060	1.6	0.8	1.1	0.9	0.6	0.4	0.6	1.1	1.1	3.6
1070	0.6	0.5	0.6	0.9	2.5	0.5	0.6	3.4	0.9	0.6
1080	0.8	2.7	1.3	1.4	1.1	1.9	1.3	2.8	1.4	0.5
1090	1.4	1.2	0.6	3.9	1.5	0.6	0.5	0.9	0.7	1.2
1100	0.7	0.7	0.7	1.2	1.1	0.8	4.0	1.6	0.4	0.5
1110	3.2	0.5	1.0	1.2	2.4	0.6	1.6	1.0	2.0	1.3
1120	0.8	2.5	0.6	2.4	0.6	0.6	0.9	0.5	1.4	1.8
